,Date,Power(MW),Temperature,Clearsky GHI,DHI,Clearsky DHI,Clearsky DNI,Cloud Type,DNI,Relative Humidity,Pressure,Wind Speed,Global Horizontal UV Irradiance (295-385nm),Global Horizontal UV Irradiance (280-400nm),Solar Zenith Angle,Dew Point,Surface Albedo
Date,1.0,-0.03032991290013095,0.06826619086807033,0.006309509798621598,0.01452666026271594,0.05146390434788512,-0.020912401575912884,-0.004717837673919741,-0.006697053120005314,-0.15805826657783734,0.005012441530375393,0.14751625425332768,0.01712778150296498,0.017108371469121784,-0.025195525293464804,-0.1009464700865109,-0.02869505899797222
Power(MW),-0.03032991290013095,1.0,0.20249000068935566,0.5411091738508791,0.5001890918645475,0.5117348917908052,0.54417391851578,-0.11203041747611107,0.49767054014933726,-0.2206304443290092,0.22200634112432052,0.4655248527473117,0.5313154866880435,0.5312918146676301,-0.5923502199171957,-0.08332545631534033,0.007701312582851968
Temperature,0.06826619086807033,0.20249000068935566,1.0,0.7908164946516515,0.7616609272588143,0.7780857790912854,0.779380385461567,0.09369442941764404,0.6983592882778961,-0.5214114487375568,-0.31223698383673926,0.1105926868533442,0.7831092944867138,0.7829712539956288,-0.7794499604644033,0.2742788323853045,-0.12040743413739392
Clearsky GHI,0.006309509798621598,0.5411091738508791,0.7908164946516515,1.0,0.9641402906886876,0.9733606746442226,0.9896644987351736,-0.03643974017844939,0.8677188484650188,-0.5846006392963903,-0.05397476547760997,0.3966809957698827,0.9513333929891002,0.9511191921434746,-0.9329787150495544,0.06534521250323405,-0.03775911226339486
DHI,0.01452666026271594,0.5001890918645475,0.7616609272588143,0.9641402906886876,1.0,0.9724985123912812,0.942799691324329,0.06514674830432608,0.8077530446743393,-0.5290839980099837,-0.09758629766130768,0.37138574395688195,0.902908265777792,0.9026034777682217,-0.901567201788909,0.12182677665034344,-0.06538608102681366
Clearsky DHI,0.05146390434788512,0.5117348917908052,0.7780857790912854,0.9733606746442226,0.9724985123912812,1.0,0.9417599950154404,0.006482677847938727,0.8272078488698272,-0.5608422304805171,-0.08120753067486988,0.3892424635129017,0.920476179633041,0.920234624450973,-0.9114425221720713,0.0849372104769239,-0.0474605841197568
Clearsky DNI,-0.020912401575912884,0.54417391851578,0.779380385461567,0.9896644987351736,0.942799691324329,0.9417599950154404,1.0,-0.0696183337899579,0.88917221189469,-0.5934827914508436,-0.025897217908487292,0.39245731307599296,0.9499439160180119,0.9498116730375197,-0.9205160526957216,0.03968352060740974,-0.01937160887373692
Cloud Type,-0.004717837673919741,-0.11203041747611107,0.09369442941764404,-0.03643974017844939,0.06514674830432608,0.006482677847938727,-0.0696183337899579,1.0,-0.26918776659697835,0.43542454005708353,-0.4528198360531866,-0.19709590334721294,-0.10822053619541103,-0.10872872572108354,0.00031149068431481715,0.5766298766785863,-0.29626467399093015
DNI,-0.006697053120005314,0.49767054014933726,0.6983592882778961,0.8677188484650188,0.8077530446743393,0.8272078488698272,0.88917221189469,-0.26918776659697835,1.0,-0.6459477400214146,0.09858173286847492,0.36286142216927314,0.8937691744342259,0.8940956058572418,-0.8064243658467736,-0.1258782729035259,0.07153061021335978
Relative Humidity,-0.15805826657783734,-0.2206304443290092,-0.5214114487375568,-0.5846006392963903,-0.5290839980099837,-0.5608422304805171,-0.5934827914508436,0.43542454005708353,-0.6459477400214146,1.0,-0.3554267847485922,-0.3529849767994247,-0.6107293434802501,-0.610884527543473,0.5299295720750811,0.6056863833444915,-0.2750022384828352
Pressure,0.005012441530375393,0.22200634112432052,-0.31223698383673926,-0.05397476547760997,-0.09758629766130768,-0.08120753067486988,-0.025897217908487292,-0.4528198360531866,0.09858173286847492,-0.3554267847485922,1.0,0.2227103285796363,-0.013170071932076609,-0.012850697083469153,0.08992371600636323,-0.6729618179530937,0.39432500770109835
Wind Speed,0.14751625425332768,0.4655248527473117,0.1105926868533442,0.3966809957698827,0.37138574395688195,0.3892424635129017,0.39245731307599296,-0.19709590334721294,0.36286142216927314,-0.3529849767994247,0.2227103285796363,1.0,0.3987056065810976,0.39865628958178767,-0.35462131566805666,-0.27647071312204113,0.07216559204115325
Global Horizontal UV Irradiance (295-385nm),0.01712778150296498,0.5313154866880435,0.7831092944867138,0.9513333929891002,0.902908265777792,0.920476179633041,0.9499439160180119,-0.10822053619541103,0.8937691744342259,-0.6107293434802501,-0.013170071932076609,0.3987056065810976,1.0,0.9999989589396469,-0.8866572738996364,0.0019366870855694308,-0.005733617358242819
Global Horizontal UV Irradiance (280-400nm),0.017108371469121784,0.5312918146676301,0.7829712539956288,0.9511191921434746,0.9026034777682217,0.920234624450973,0.9498116730375197,-0.10872872572108354,0.8940956058572418,-0.610884527543473,-0.012850697083469153,0.39865628958178767,0.9999989589396469,1.0,-0.8864488649047829,0.001536006361907863,-0.005501136764793406
Solar Zenith Angle,-0.025195525293464804,-0.5923502199171957,-0.7794499604644033,-0.9329787150495544,-0.901567201788909,-0.9114425221720713,-0.9205160526957216,0.00031149068431481715,-0.8064243658467736,0.5299295720750811,0.08992371600636323,-0.35462131566805666,-0.8866572738996364,-0.8864488649047829,1.0,-0.10830359449642095,0.04623810416280976
Dew Point,-0.1009464700865109,-0.08332545631534033,0.2742788323853045,0.06534521250323405,0.12182677665034344,0.0849372104769239,0.03968352060740974,0.5766298766785863,-0.1258782729035259,0.6056863833444915,-0.6729618179530937,-0.27647071312204113,0.0019366870855694308,0.001536006361907863,-0.10830359449642095,1.0,-0.42283538056494985
Surface Albedo,-0.02869505899797222,0.007701312582851968,-0.12040743413739392,-0.03775911226339486,-0.06538608102681366,-0.0474605841197568,-0.01937160887373692,-0.29626467399093015,0.07153061021335978,-0.2750022384828352,0.39432500770109835,0.07216559204115325,-0.005733617358242819,-0.005501136764793406,0.04623810416280976,-0.42283538056494985,1.0
